RD_NO,PERSON_TYPE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,SAFETY_EQUIPMENT,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT VALUE,CELL_PHONE_USE
410631,0,30,1,2,0,0,10,2,0,0,0,16,0,0,8,0,0,0,0,200,200
410631,0,30,1,2,0,0,10,2,0,0,0,16,0,0,200,200,200,200,200,200,200
410643,0,30,1,2,0,1,12,2,0,0,0,23,0,1,200,200,4,200,200,200,200
410643,0,30,1,2,0,1,12,2,0,0,0,23,0,1,6,0,0,0,0,200,200
410643,1,30,1,2,0,1,12,2,0,0,0,23,0,0,2,0,200,200,200,200,200
410643,1,30,1,2,0,1,12,2,0,0,0,23,0,1,2,0,200,200,200,200,200
410643,1,30,1,2,0,1,12,2,0,0,0,23,0,1,2,0,200,200,200,200,200
410645,0,30,0,0,0,1,10,5,0,0,0,0,0,0,5,200,200,200,200,200,200
410645,0,30,0,0,0,1,10,5,0,0,0,0,0,1,5,0,200,0,0,200,200
410649,0,30,2,2,0,1,10,2,0,0,0,18,0,0,7,0,3,0,0,200,200
410649,0,30,2,2,0,1,10,2,0,0,0,18,0,1,5,0,0,0,0,200,200
410649,1,30,2,2,0,1,10,2,0,0,0,18,0,0,1,5,200,200,200,200,200
410651,0,30,0,0,0,4,7,7,0,0,0,22,0,1,200,200,2,200,200,200,200
410652,0,30,1,2,0,1,10,2,0,0,0,0,0,0,7,200,200,200,200,200,200
410652,0,30,1,2,0,1,10,2,0,0,0,0,0,1,5,0,0,0,0,200,200
410652,0,30,1,2,0,1,10,2,0,0,0,0,0,2,200,200,0,200,200,200,200
410652,1,30,1,2,0,1,10,2,0,0,0,0,0,1,200,200,200,200,200,200,200
410652,1,30,1,2,0,1,10,2,0,0,0,0,0,1,200,200,200,200,200,200,200
410654,0,30,0,0,0,1,7,6,0,0,0,0,0,0,6,7,12,0,0,200,200
410658,0,30,1,2,0,1,12,5,3,0,0,18,16,0,200,200,8,200,200,200,200
410658,0,30,1,2,0,1,12,5,3,0,0,18,16,1,7,0,0,0,0,200,200
410661,0,0,0,0,0,1,0,7,5,0,0,17,11,0,5,200,1,200,200,200,200
